,Train File,ID
20,nray/DLBCL\TestRun1\Train\1_pos.tif,1
110,nray/DLBCL\TestRun1\Train\dab_1_pos.tif,1
200,nray/DLBCL\TestRun1\Train\dist_1_pos.tif,1
290,nray/DLBCL\TestRun1\Train\hem_1_pos.tif,1
38,nray/DLBCL\TestRun1\Train\3_pos.tif,3
128,nray/DLBCL\TestRun1\Train\dab_3_pos.tif,3
218,nray/DLBCL\TestRun1\Train\dist_3_pos.tif,3
308,nray/DLBCL\TestRun1\Train\hem_3_pos.tif,3
46,nray/DLBCL\TestRun1\Train\4_pos.tif,4
136,nray/DLBCL\TestRun1\Train\dab_4_pos.tif,4
226,nray/DLBCL\TestRun1\Train\dist_4_pos.tif,4
316,nray/DLBCL\TestRun1\Train\hem_4_pos.tif,4
54,nray/DLBCL\TestRun1\Train\5_pos.tif,5
144,nray/DLBCL\TestRun1\Train\dab_5_pos.tif,5
234,nray/DLBCL\TestRun1\Train\dist_5_pos.tif,5
324,nray/DLBCL\TestRun1\Train\hem_5_pos.tif,5
64,nray/DLBCL\TestRun1\Train\6_pos.tif,6
154,nray/DLBCL\TestRun1\Train\dab_6_pos.tif,6
244,nray/DLBCL\TestRun1\Train\dist_6_pos.tif,6
334,nray/DLBCL\TestRun1\Train\hem_6_pos.tif,6
79,nray/DLBCL\TestRun1\Train\8_pos.tif,8
169,nray/DLBCL\TestRun1\Train\dab_8_pos.tif,8
259,nray/DLBCL\TestRun1\Train\dist_8_pos.tif,8
349,nray/DLBCL\TestRun1\Train\hem_8_pos.tif,8
89,nray/DLBCL\TestRun1\Train\9_neg.tif,9
179,nray/DLBCL\TestRun1\Train\dab_9_neg.tif,9
269,nray/DLBCL\TestRun1\Train\dist_9_neg.tif,9
359,nray/DLBCL\TestRun1\Train\hem_9_neg.tif,9
7,nray/DLBCL\TestRun1\Train\10_neg.tif,10
97,nray/DLBCL\TestRun1\Train\dab_10_neg.tif,10
187,nray/DLBCL\TestRun1\Train\dist_10_neg.tif,10
277,nray/DLBCL\TestRun1\Train\hem_10_neg.tif,10
14,nray/DLBCL\TestRun1\Train\12_pos.tif,12
104,nray/DLBCL\TestRun1\Train\dab_12_pos.tif,12
194,nray/DLBCL\TestRun1\Train\dist_12_pos.tif,12
284,nray/DLBCL\TestRun1\Train\hem_12_pos.tif,12
15,nray/DLBCL\TestRun1\Train\13_pos.tif,13
105,nray/DLBCL\TestRun1\Train\dab_13_pos.tif,13
195,nray/DLBCL\TestRun1\Train\dist_13_pos.tif,13
285,nray/DLBCL\TestRun1\Train\hem_13_pos.tif,13
16,nray/DLBCL\TestRun1\Train\14_pos.tif,14
106,nray/DLBCL\TestRun1\Train\dab_14_pos.tif,14
196,nray/DLBCL\TestRun1\Train\dist_14_pos.tif,14
286,nray/DLBCL\TestRun1\Train\hem_14_pos.tif,14
17,nray/DLBCL\TestRun1\Train\15_neg.tif,15
107,nray/DLBCL\TestRun1\Train\dab_15_neg.tif,15
197,nray/DLBCL\TestRun1\Train\dist_15_neg.tif,15
287,nray/DLBCL\TestRun1\Train\hem_15_neg.tif,15
18,nray/DLBCL\TestRun1\Train\18_pos.tif,18
108,nray/DLBCL\TestRun1\Train\dab_18_pos.tif,18
198,nray/DLBCL\TestRun1\Train\dist_18_pos.tif,18
288,nray/DLBCL\TestRun1\Train\hem_18_pos.tif,18
19,nray/DLBCL\TestRun1\Train\19_pos.tif,19
109,nray/DLBCL\TestRun1\Train\dab_19_pos.tif,19
199,nray/DLBCL\TestRun1\Train\dist_19_pos.tif,19
289,nray/DLBCL\TestRun1\Train\hem_19_pos.tif,19
21,nray/DLBCL\TestRun1\Train\20_neg.tif,20
111,nray/DLBCL\TestRun1\Train\dab_20_neg.tif,20
201,nray/DLBCL\TestRun1\Train\dist_20_neg.tif,20
291,nray/DLBCL\TestRun1\Train\hem_20_neg.tif,20
22,nray/DLBCL\TestRun1\Train\21_pos.tif,21
112,nray/DLBCL\TestRun1\Train\dab_21_pos.tif,21
202,nray/DLBCL\TestRun1\Train\dist_21_pos.tif,21
292,nray/DLBCL\TestRun1\Train\hem_21_pos.tif,21
23,nray/DLBCL\TestRun1\Train\22_pos.tif,22
113,nray/DLBCL\TestRun1\Train\dab_22_pos.tif,22
203,nray/DLBCL\TestRun1\Train\dist_22_pos.tif,22
293,nray/DLBCL\TestRun1\Train\hem_22_pos.tif,22
24,nray/DLBCL\TestRun1\Train\23_neg.tif,23
114,nray/DLBCL\TestRun1\Train\dab_23_neg.tif,23
204,nray/DLBCL\TestRun1\Train\dist_23_neg.tif,23
294,nray/DLBCL\TestRun1\Train\hem_23_neg.tif,23
25,nray/DLBCL\TestRun1\Train\25_pos.tif,25
115,nray/DLBCL\TestRun1\Train\dab_25_pos.tif,25
205,nray/DLBCL\TestRun1\Train\dist_25_pos.tif,25
295,nray/DLBCL\TestRun1\Train\hem_25_pos.tif,25
26,nray/DLBCL\TestRun1\Train\26_neg.tif,26
116,nray/DLBCL\TestRun1\Train\dab_26_neg.tif,26
206,nray/DLBCL\TestRun1\Train\dist_26_neg.tif,26
296,nray/DLBCL\TestRun1\Train\hem_26_neg.tif,26
27,nray/DLBCL\TestRun1\Train\27_pos.tif,27
117,nray/DLBCL\TestRun1\Train\dab_27_pos.tif,27
207,nray/DLBCL\TestRun1\Train\dist_27_pos.tif,27
297,nray/DLBCL\TestRun1\Train\hem_27_pos.tif,27
28,nray/DLBCL\TestRun1\Train\30_pos.tif,30
118,nray/DLBCL\TestRun1\Train\dab_30_pos.tif,30
208,nray/DLBCL\TestRun1\Train\dist_30_pos.tif,30
298,nray/DLBCL\TestRun1\Train\hem_30_pos.tif,30
29,nray/DLBCL\TestRun1\Train\31_neg.tif,31
119,nray/DLBCL\TestRun1\Train\dab_31_neg.tif,31
209,nray/DLBCL\TestRun1\Train\dist_31_neg.tif,31
299,nray/DLBCL\TestRun1\Train\hem_31_neg.tif,31
30,nray/DLBCL\TestRun1\Train\32_pos.tif,32
120,nray/DLBCL\TestRun1\Train\dab_32_pos.tif,32
210,nray/DLBCL\TestRun1\Train\dist_32_pos.tif,32
300,nray/DLBCL\TestRun1\Train\hem_32_pos.tif,32
31,nray/DLBCL\TestRun1\Train\33_pos.tif,33
121,nray/DLBCL\TestRun1\Train\dab_33_pos.tif,33
211,nray/DLBCL\TestRun1\Train\dist_33_pos.tif,33
301,nray/DLBCL\TestRun1\Train\hem_33_pos.tif,33
32,nray/DLBCL\TestRun1\Train\34_pos.tif,34
122,nray/DLBCL\TestRun1\Train\dab_34_pos.tif,34
212,nray/DLBCL\TestRun1\Train\dist_34_pos.tif,34
